Start,01/01/1992
End,12/01/2012
Frequency,M
Name,ELANDSRAND GOLD - COMMON SHARES OUTSTANDING
Code,936505(WC05301)
CURRENCY,
01/01/1992,96976
02/01/1992,96976
03/01/1992,96976
04/01/1992,96976
05/01/1992,96976
06/01/1992,96976
07/01/1992,96976
08/01/1992,96976
09/01/1992,96976
10/01/1992,96976
11/01/1992,96976
12/01/1992,96976
01/01/1993,96976
02/01/1993,96976
03/01/1993,96976
04/01/1993,96976
05/01/1993,96976
06/01/1993,96976
07/01/1993,96976
08/01/1993,96976
09/01/1993,96976
10/01/1993,96976
11/01/1993,96976
12/01/1993,96976
01/01/1994,96676
02/01/1994,96676
03/01/1994,96676
04/01/1994,96676
05/01/1994,96676
06/01/1994,96676
07/01/1994,96676
08/01/1994,96676
09/01/1994,96676
10/01/1994,96676
11/01/1994,96676
12/01/1994,96676
01/01/1995,96200
02/01/1995,96200
03/01/1995,96200
04/01/1995,96200
05/01/1995,96200
06/01/1995,96200
07/01/1995,96200
08/01/1995,96200
09/01/1995,96200
10/01/1995,96200
11/01/1995,96200
12/01/1995,96200
01/01/1996,96976
02/01/1996,96976
03/01/1996,96976
04/01/1996,96976
05/01/1996,96976
06/01/1996,96976
07/01/1996,96976
08/01/1996,96976
09/01/1996,96976
10/01/1996,96976
11/01/1996,96976
12/01/1996,96976
01/01/1997,116882
02/01/1997,116882
03/01/1997,116882
04/01/1997,116882
05/01/1997,116882
06/01/1997,116882
07/01/1997,116882
08/01/1997,116882
09/01/1997,116882
10/01/1997,116882
11/01/1997,116882
12/01/1997,116882
01/01/1998,NA
02/01/1998,NA
03/01/1998,NA
04/01/1998,NA
05/01/1998,NA
06/01/1998,NA
07/01/1998,NA
08/01/1998,NA
09/01/1998,NA
10/01/1998,NA
11/01/1998,NA
12/01/1998,NA
01/01/1999,NA
02/01/1999,NA
03/01/1999,NA
04/01/1999,NA
05/01/1999,NA
06/01/1999,NA
07/01/1999,NA
08/01/1999,NA
09/01/1999,NA
10/01/1999,NA
11/01/1999,NA
12/01/1999,NA
01/01/2000,NA
02/01/2000,NA
03/01/2000,NA
04/01/2000,NA
05/01/2000,NA
06/01/2000,NA
07/01/2000,NA
08/01/2000,NA
09/01/2000,NA
10/01/2000,NA
11/01/2000,NA
12/01/2000,NA
01/01/2001,NA
02/01/2001,NA
03/01/2001,NA
04/01/2001,NA
05/01/2001,NA
06/01/2001,NA
07/01/2001,NA
08/01/2001,NA
09/01/2001,NA
10/01/2001,NA
11/01/2001,NA
12/01/2001,NA
01/01/2002,NA
02/01/2002,NA
03/01/2002,NA
04/01/2002,NA
05/01/2002,NA
06/01/2002,NA
07/01/2002,NA
08/01/2002,NA
09/01/2002,NA
10/01/2002,NA
11/01/2002,NA
12/01/2002,NA
01/01/2003,NA
02/01/2003,NA
03/01/2003,NA
04/01/2003,NA
05/01/2003,NA
06/01/2003,NA
07/01/2003,NA
08/01/2003,NA
09/01/2003,NA
10/01/2003,NA
11/01/2003,NA
12/01/2003,NA
01/01/2004,NA
02/01/2004,NA
03/01/2004,NA
04/01/2004,NA
05/01/2004,NA
06/01/2004,NA
07/01/2004,NA
08/01/2004,NA
09/01/2004,NA
10/01/2004,NA
11/01/2004,NA
12/01/2004,NA
01/01/2005,NA
02/01/2005,NA
03/01/2005,NA
04/01/2005,NA
05/01/2005,NA
06/01/2005,NA
07/01/2005,NA
08/01/2005,NA
09/01/2005,NA
10/01/2005,NA
11/01/2005,NA
12/01/2005,NA
01/01/2006,NA
02/01/2006,NA
03/01/2006,NA
04/01/2006,NA
05/01/2006,NA
06/01/2006,NA
07/01/2006,NA
08/01/2006,NA
09/01/2006,NA
10/01/2006,NA
11/01/2006,NA
12/01/2006,NA
01/01/2007,NA
02/01/2007,NA
03/01/2007,NA
04/01/2007,NA
05/01/2007,NA
06/01/2007,NA
07/01/2007,NA
08/01/2007,NA
09/01/2007,NA
10/01/2007,NA
11/01/2007,NA
12/01/2007,NA
01/01/2008,NA
02/01/2008,NA
03/01/2008,NA
04/01/2008,NA
05/01/2008,NA
06/01/2008,NA
07/01/2008,NA
08/01/2008,NA
09/01/2008,NA
10/01/2008,NA
11/01/2008,NA
12/01/2008,NA
01/01/2009,NA
02/01/2009,NA
03/01/2009,NA
04/01/2009,NA
05/01/2009,NA
06/01/2009,NA
07/01/2009,NA
08/01/2009,NA
09/01/2009,NA
10/01/2009,NA
11/01/2009,NA
12/01/2009,NA
01/01/2010,NA
02/01/2010,NA
03/01/2010,NA
04/01/2010,NA
05/01/2010,NA
06/01/2010,NA
07/01/2010,NA
08/01/2010,NA
09/01/2010,NA
10/01/2010,NA
11/01/2010,NA
12/01/2010,NA
01/01/2011,NA
02/01/2011,NA
03/01/2011,NA
04/01/2011,NA
05/01/2011,NA
06/01/2011,NA
07/01/2011,NA
08/01/2011,NA
09/01/2011,NA
10/01/2011,NA
11/01/2011,NA
12/01/2011,NA
01/01/2012,NA
02/01/2012,NA
03/01/2012,NA
04/01/2012,NA
05/01/2012,NA
06/01/2012,NA
07/01/2012,NA
08/01/2012,NA
09/01/2012,NA
10/01/2012,NA
11/01/2012,NA
12/01/2012,NA
